features,mutual_info
item_price_min_delta1,0.026259643029585892
item_price_max_delta1,0.026574245538677908
item_price_mean_delta1,0.030442047039507907
item_price_median_delta1,0.02569614472563775
item_cnt_month_delta1,0.1127626567093417
month_price_range_delta1,0.013285167191853105
item_price_min_shift1,0.029878397204924207
item_price_max_shift1,0.02998151167089377
item_price_mean_shift1,0.034105930346542294
item_price_median_shift1,0.02903057364062295
item_cnt_month_shift1,0.11999548419609357
month_price_range_shift1,0.016482956361345738
item_price_min_item_mes_delta1,0.10797189964420204
item_price_max_item_mes_delta1,0.10410937150352846
item_price_mean_item_mes_delta1,0.10970199839286011
item_price_median_item_mes_delta1,0.10580959071850558
item_cnt_month_item_mes_delta1,0.12463399571383253
month_price_range_item_mes_delta1,0.072880304879645
item_price_min_categoria_mes_delta1,0.051301588319024656
item_price_max_categoria_mes_delta1,0.051717131320460664
item_price_mean_categoria_mes_delta1,0.051455820469734743
item_price_median_categoria_mes_delta1,0.05150908682695227
item_cnt_month_categoria_mes_delta1,0.054675846083545906
month_price_range_categoria_mes_delta1,0.04772651983216927
item_price_min_item_mes_shift1,0.10898860252708477
item_price_max_item_mes_shift1,0.10469959463680988
item_price_mean_item_mes_shift1,0.11085426682265806
item_price_median_item_mes_shift1,0.10680866335659678
item_cnt_month_item_mes_shift1,0.12765473718532142
month_price_range_item_mes_shift1,0.07361206620410561
item_price_min_categoria_mes_shift1,0.05141575336809467
item_price_max_categoria_mes_shift1,0.051793818853621686
item_price_mean_categoria_mes_shift1,0.051565276383249335
item_price_median_categoria_mes_shift1,0.05161013392686583
item_cnt_month_categoria_mes_shift1,0.054772978022227234
month_price_range_categoria_mes_shift1,0.047950153383821005
